iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
90,2.7,stationary,Static_Tmax,0.804388,0.020936,-0.004388,0.0,0.0,30.0,single_a6000,4,step,N/A
91,2.73,stationary,PI_adaptive,0.792755,0.020957,0.007245,0.0,9e-06,30.0,single_a6000,4,step,0.998494
91,2.73,stationary,Static_Tmax,0.822126,0.020936,-0.022126,0.0,0.0,30.0,single_a6000,4,step,N/A
92,2.76,stationary,PI_adaptive,0.810243,0.020945,-0.010243,0.0,-1.2e-05,30.0,single_a6000,4,step,0.998494
92,2.76,stationary,Static_Tmax,0.830716,0.020936,-0.030716,0.0,0.0,30.0,single_a6000,4,step,N/A
93,2.79,stationary,PI_adaptive,0.804359,0.02094,-0.004359,0.0,-5e-06,30.0,single_a6000,4,step,0.998494
93,2.79,stationary,Static_Tmax,0.775511,0.020936,0.024489,0.0,0.0,30.0,single_a6000,4,step,N/A
94,2.82,stationary,PI_adaptive,0.772916,0.020958,0.027084,0.0,3.3e-05,30.0,single_a6000,4,step,0.998494
94,2.82,stationary,Static_Tmax,0.833019,0.020936,-0.033019,0.0,0.0,30.0,single_a6000,4,step,N/A
95,2.85,stationary,PI_adaptive,0.83618,0.02094,-0.03618,0.0,-4.4e-05,30.0,single_a6000,4,step,0.998494
95,2.85,stationary,Static_Tmax,0.79641,0.020936,0.00359,0.0,0.0,30.0,single_a6000,4,step,N/A
96,2.88,stationary,PI_adaptive,0.792622,0.020949,0.007378,0.0,9e-06,30.0,single_a6000,4,step,0.998494
96,2.88,stationary,Static_Tmax,0.82923,0.020936,-0.02923,0.0,0.0,30.0,single_a6000,4,step,N/A
97,2.91,stationary,PI_adaptive,0.77885,0.020967,0.02115,0.0,2.6e-05,30.0,single_a6000,4,step,0.998494
97,2.91,stationary,Static_Tmax,0.782106,0.020936,0.017894,0.0,0.0,30.0,single_a6000,4,step,N/A
98,2.94,stationary,PI_adaptive,0.81528,0.020949,-0.01528,0.0,-1.8e-05,30.0,single_a6000,4,step,0.998494
98,2.94,stationary,Static_Tmax,0.792109,0.020936,0.007891,0.0,0.0,30.0,single_a6000,4,step,N/A
99,2.97,stationary,PI_adaptive,0.800896,0.020948,-0.000896,0.0,-1e-06,30.0,single_a6000,4,step,0.998494
99,2.97,stationary,Static_Tmax,0.796732,0.020936,0.003268,0.0,0.0,30.0,single_a6000,4,step,N/A
