iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
45,1.35,sinusoidal,PI_adaptive,0.822755,0.020746,-0.022755,-0.0,-2.8e-05,30.0,single_a6000,4,sinusoidal,0.998494
45,1.35,sinusoidal,Static_Tmax,0.82051,0.020936,-0.02051,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
46,1.38,sinusoidal,PI_adaptive,0.800053,0.020745,-5.3e-05,-0.0,-0.0,30.0,single_a6000,4,sinusoidal,0.998494
46,1.38,sinusoidal,Static_Tmax,0.821364,0.020936,-0.021364,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
47,1.41,sinusoidal,PI_adaptive,0.775241,0.020763,0.024759,-0.0,3e-05,30.0,single_a6000,4,sinusoidal,0.998494
47,1.41,sinusoidal,Static_Tmax,0.794494,0.020936,0.005506,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
48,1.44,sinusoidal,PI_adaptive,0.784406,0.020781,0.015594,-0.0,1.9e-05,30.0,single_a6000,4,sinusoidal,0.998494
48,1.44,sinusoidal,Static_Tmax,0.803967,0.020936,-0.003967,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
49,1.47,sinusoidal,PI_adaptive,0.820719,0.020762,-0.020719,-0.0,-2.5e-05,30.0,single_a6000,4,sinusoidal,0.998494
49,1.47,sinusoidal,Static_Tmax,0.806278,0.020936,-0.006278,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
50,1.5,sinusoidal,PI_adaptive,0.804244,0.020757,-0.004244,-0.0,-5e-06,30.0,single_a6000,4,sinusoidal,0.998494
50,1.5,sinusoidal,Static_Tmax,0.850847,0.020936,-0.050847,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
51,1.53,sinusoidal,PI_adaptive,0.804757,0.020751,-0.004757,-0.0,-6e-06,30.0,single_a6000,4,sinusoidal,0.998494
51,1.53,sinusoidal,Static_Tmax,0.840087,0.020936,-0.040087,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
52,1.56,sinusoidal,PI_adaptive,0.793237,0.020759,0.006763,-0.0,8e-06,30.0,single_a6000,4,sinusoidal,0.998494
52,1.56,sinusoidal,Static_Tmax,0.8217,0.020936,-0.0217,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
53,1.59,sinusoidal,PI_adaptive,0.794007,0.020766,0.005993,-0.0,7e-06,30.0,single_a6000,4,sinusoidal,0.998494
53,1.59,sinusoidal,Static_Tmax,0.8195,0.020936,-0.0195,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
54,1.62,sinusoidal,PI_adaptive,0.830838,0.020747,-0.030838,-0.0,-3.7e-05,30.0,single_a6000,4,sinusoidal,0.998494
54,1.62,sinusoidal,Static_Tmax,0.792206,0.020936,0.007794,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
55,1.65,sinusoidal,PI_adaptive,0.821802,0.020729,-0.021802,-0.0,-2.6e-05,30.0,single_a6000,4,sinusoidal,0.998494
55,1.65,sinusoidal,Static_Tmax,0.831977,0.020936,-0.031977,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
56,1.68,sinusoidal,PI_adaptive,0.800306,0.020728,-0.000306,-0.0,-0.0,30.0,single_a6000,4,sinusoidal,0.998494
56,1.68,sinusoidal,Static_Tmax,0.79877,0.020936,0.00123,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
57,1.71,sinusoidal,PI_adaptive,0.814065,0.020711,-0.014065,-0.0,-1.7e-05,30.0,single_a6000,4,sinusoidal,0.998494
57,1.71,sinusoidal,Static_Tmax,0.81757,0.020936,-0.01757,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
58,1.74,sinusoidal,PI_adaptive,0.816425,0.020692,-0.016425,-0.0,-2e-05,30.0,single_a6000,4,sinusoidal,0.998494
58,1.74,sinusoidal,Static_Tmax,0.829064,0.020936,-0.029064,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
59,1.77,sinusoidal,PI_adaptive,0.842871,0.020674,-0.042871,-1e-06,-5.2e-05,30.0,single_a6000,4,sinusoidal,0.998494
59,1.77,sinusoidal,Static_Tmax,0.824306,0.020936,-0.024306,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
60,1.8,sinusoidal,PI_adaptive,0.789419,0.020686,0.010581,-1e-06,1.3e-05,30.0,single_a6000,4,sinusoidal,0.998494
60,1.8,sinusoidal,Static_Tmax,0.833144,0.020936,-0.033144,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
61,1.83,sinusoidal,PI_adaptive,0.815738,0.020667,-0.015738,-1e-06,-1.9e-05,30.0,single_a6000,4,sinusoidal,0.998494
61,1.83,sinusoidal,Static_Tmax,0.857207,0.020936,-0.057207,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
62,1.86,sinusoidal,PI_adaptive,0.827094,0.020649,-0.027094,-1e-06,-3.3e-05,30.0,single_a6000,4,sinusoidal,0.998494
62,1.86,sinusoidal,Static_Tmax,0.837624,0.020936,-0.037624,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
63,1.89,sinusoidal,PI_adaptive,0.838703,0.02063,-0.038703,-1e-06,-4.7e-05,30.0,single_a6000,4,sinusoidal,0.998494
63,1.89,sinusoidal,Static_Tmax,0.807174,0.020936,-0.007174,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
64,1.92,sinusoidal,PI_adaptive,0.795678,0.020635,0.004322,-1e-06,5e-06,30.0,single_a6000,4,sinusoidal,0.998494
64,1.92,sinusoidal,Static_Tmax,0.81288,0.020936,-0.01288,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
65,1.95,sinusoidal,PI_adaptive,0.801532,0.020632,-0.001532,-1e-06,-2e-06,30.0,single_a6000,4,sinusoidal,0.998494
65,1.95,sinusoidal,Static_Tmax,0.804338,0.020936,-0.004338,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
66,1.98,sinusoidal,PI_adaptive,0.822331,0.020613,-0.022331,-1e-06,-2.7e-05,30.0,single_a6000,4,sinusoidal,0.998494
66,1.98,sinusoidal,Static_Tmax,0.827887,0.020936,-0.027887,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
67,2.01,sinusoidal,PI_adaptive,0.779244,0.020631,0.020756,-1e-06,2.5e-05,30.0,single_a6000,4,sinusoidal,0.998494
67,2.01,sinusoidal,Static_Tmax,0.812479,0.020936,-0.012479,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
68,2.04,sinusoidal,PI_adaptive,0.816783,0.020612,-0.016783,-1e-06,-2e-05,30.0,single_a6000,4,sinusoidal,0.998494
68,2.04,sinusoidal,Static_Tmax,0.850012,0.020936,-0.050012,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
69,2.07,sinusoidal,PI_adaptive,0.849482,0.020593,-0.049482,-1e-06,-6e-05,30.0,single_a6000,4,sinusoidal,0.998494
69,2.07,sinusoidal,Static_Tmax,0.891984,0.020936,-0.091984,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
70,2.1,sinusoidal,PI_adaptive,0.816859,0.020574,-0.016859,-1e-06,-2e-05,30.0,single_a6000,4,sinusoidal,0.998494
70,2.1,sinusoidal,Static_Tmax,0.814372,0.020936,-0.014372,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
71,2.13,sinusoidal,PI_adaptive,0.764947,0.020592,0.035053,-1e-06,4.2e-05,30.0,single_a6000,4,sinusoidal,0.998494
71,2.13,sinusoidal,Static_Tmax,0.839972,0.020936,-0.039972,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
72,2.16,sinusoidal,PI_adaptive,0.793182,0.020599,0.006818,-1e-06,8e-06,30.0,single_a6000,4,sinusoidal,0.998494
72,2.16,sinusoidal,Static_Tmax,0.826765,0.020936,-0.026765,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
73,2.19,sinusoidal,PI_adaptive,0.79828,0.020601,0.00172,-1e-06,2e-06,30.0,single_a6000,4,sinusoidal,0.998494
73,2.19,sinusoidal,Static_Tmax,0.83271,0.020936,-0.03271,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
74,2.22,sinusoidal,PI_adaptive,0.83244,0.020582,-0.03244,-1e-06,-3.9e-05,30.0,single_a6000,4,sinusoidal,0.998494
74,2.22,sinusoidal,Static_Tmax,0.83912,0.020936,-0.03912,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
